1,1000,500,4.999876022338867
3,1000,500,3.0808448791503906
5,1000,500,2.5119781494140625
7,1000,500,1.5065670013427734
1,1000,1000,2.2821426391601562
3,1000,1000,2.002239227294922
5,1000,1000,1.9855499267578125
7,1000,1000,3.0813217163085938
1,1000,2000,1.981496810913086
3,1000,2000,2.0852088928222656
5,1000,2000,3.0028820037841797
7,1000,2000,2.9921531677246094
1,2000,500,2.086162567138672
3,2000,500,1.9979476928710938
5,2000,500,1.0211467742919922
7,2000,500,2.645730972290039
1,2000,1000,1.9986629486083984
3,2000,1000,0.9982585906982422
5,2000,1000,3.0701160430908203
7,2000,1000,2.0046234130859375
1,2000,2000,2.988576889038086
3,2000,2000,3.7038326263427734
5,2000,2000,4.008769989013672
7,2000,2000,3.061532974243164
1,4000,500,1.9991397857666016
3,4000,500,2.5081634521484375
5,4000,500,1.9991397857666016
7,4000,500,1.9993782043457031
1,4000,1000,1.9989013671875
3,4000,1000,2.099752426147461
5,4000,1000,2.2516250610351562
7,4000,1000,2.998828887939453
1,4000,2000,2.674579620361328
3,4000,2000,4.048824310302734
5,4000,2000,4.6596527099609375
7,4000,2000,5.008459091186523
1,8000,500,4.5032501220703125
3,8000,500,3.202676773071289
5,8000,500,3.0431747436523438
7,8000,500,3.7522315979003906
1,8000,1000,4.0035247802734375
3,8000,1000,5.042791366577148
5,8000,1000,3.9985179901123047
7,8000,1000,4.952192306518555
1,8000,2000,4.702091217041016
3,8000,2000,4.000425338745117
5,8000,2000,6.16145133972168
7,8000,2000,4.709720611572266
